,Business,Class,Code
275,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
276,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
277,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
278,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
279,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
280,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
281,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
282,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
283,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
284,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
285,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
286,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
287,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
288,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
289,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
290,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
291,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
292,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
293,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
294,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
295,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
296,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
297,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
298,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
299,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
300,"Consultoris mèdics, centres de socors, sanitaris",2,T53LK6DQK
301,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
302,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
303,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
304,"Consultoris mèdics, centres de socors, sanitaris",1,T53LK6DQK
328,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
329,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
330,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
331,"* mobles d'oficina, màquines i equips d'oficina",6,YRLDZDXAH
332,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
333,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
334,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
335,"* mobles d'oficina, màquines i equips d'oficina",6,YRLDZDXAH
336,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
337,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
338,"* mobles d'oficina, màquines i equips d'oficina",3,YRLDZDXAH
339,"* mobles d'oficina, màquines i equips d'oficina",2,YRLDZDXAH
340,"* mobles d'oficina, màquines i equips d'oficina",3,YRLDZDXAH
341,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
342,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
343,"* mobles d'oficina, màquines i equips d'oficina",2,YRLDZDXAH
344,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
345,"* mobles d'oficina, màquines i equips d'oficina",6,YRLDZDXAH
346,"* mobles d'oficina, màquines i equips d'oficina",3,YRLDZDXAH
347,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
348,"* mobles d'oficina, màquines i equips d'oficina",5,YRLDZDXAH
349,"* mobles d'oficina, màquines i equips d'oficina",3,YRLDZDXAH
350,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
351,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
352,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
353,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
354,"* mobles d'oficina, màquines i equips d'oficina",6,YRLDZDXAH
355,"* mobles d'oficina, màquines i equips d'oficina",1,YRLDZDXAH
356,"* mobles d'oficina, màquines i equips d'oficina",4,YRLDZDXAH
357,"* mobles d'oficina, màquines i equips d'oficina",3,YRLDZDXAH
508,"Serveis en cafès i bars, amb i sense menjar",24,ZWVV403I1
509,"Serveis en cafès i bars, amb i sense menjar",23,ZWVV403I1
511,"Serveis en cafès i bars, amb i sense menjar",1,ZWVV403I1
514,"Serveis en cafès i bars, amb i sense menjar",20,ZWVV403I1
517,"Serveis en cafès i bars, amb i sense menjar",26,ZWVV403I1
522,"Serveis en cafès i bars, amb i sense menjar",13,ZWVV403I1
523,"Serveis en cafès i bars, amb i sense menjar",9,ZWVV403I1
524,"Serveis en cafès i bars, amb i sense menjar",22,ZWVV403I1
535,"Serveis en cafès i bars, amb i sense menjar",13,ZWVV403I1
545,"Serveis en cafès i bars, amb i sense menjar",35,ZWVV403I1
549,"Serveis en cafès i bars, amb i sense menjar",15,ZWVV403I1
550,"Serveis en cafès i bars, amb i sense menjar",19,ZWVV403I1
551,"Serveis en cafès i bars, amb i sense menjar",36,ZWVV403I1
552,"Serveis en cafès i bars, amb i sense menjar",10,ZWVV403I1
555,"Serveis en cafès i bars, amb i sense menjar",21,ZWVV403I1
560,"Serveis en cafès i bars, amb i sense menjar",18,ZWVV403I1
565,"Serveis en cafès i bars, amb i sense menjar",19,ZWVV403I1
618,"* Construcció completa, reparació i conservaci",0,QGRQI3KQ3
619,"* Construcció completa, reparació i conservaci",3,QGRQI3KQ3
620,"* Construcció completa, reparació i conservaci",6,QGRQI3KQ3
621,"* Construcció completa, reparació i conservaci",16,QGRQI3KQ3
622,"* Construcció completa, reparació i conservaci",1,QGRQI3KQ3
623,"* Construcció completa, reparació i conservaci",43,QGRQI3KQ3
624,"* Construcció completa, reparació i conservaci",4,QGRQI3KQ3
625,"* Construcció completa, reparació i conservaci",0,QGRQI3KQ3
626,"* Construcció completa, reparació i conservaci",12,QGRQI3KQ3
627,"* Construcció completa, reparació i conservaci",10,QGRQI3KQ3
628,"* Construcció completa, reparació i conservaci",3,QGRQI3KQ3
629,"* Construcció completa, reparació i conservaci",2,QGRQI3KQ3
630,"* Construcció completa, reparació i conservaci",19,QGRQI3KQ3
631,"* Construcció completa, reparació i conservaci",10,QGRQI3KQ3
632,"* Construcció completa, reparació i conservaci",1,QGRQI3KQ3
633,"* Construcció completa, reparació i conservaci",1,QGRQI3KQ3
634,"* Construcció completa, reparació i conservaci",7,QGRQI3KQ3
635,"* Construcció completa, reparació i conservaci",2,QGRQI3KQ3
636,"* Construcció completa, reparació i conservaci",2,QGRQI3KQ3
637,"* Construcció completa, reparació i conservaci",3,QGRQI3KQ3
638,"* Construcció completa, reparació i conservaci",13,QGRQI3KQ3
639,"* Construcció completa, reparació i conservaci",6,QGRQI3KQ3
640,"* Construcció completa, reparació i conservaci",8,QGRQI3KQ3
839,"* de vehicles automòbils, bicicletes i altres",7,KOKDXZTN4
840,"* de vehicles automòbils, bicicletes i altres",4,KOKDXZTN4
841,"* de vehicles automòbils, bicicletes i altres",5,KOKDXZTN4
842,"* de vehicles automòbils, bicicletes i altres",18,KOKDXZTN4
843,"* de vehicles automòbils, bicicletes i altres",5,KOKDXZTN4
844,"* de vehicles automòbils, bicicletes i altres",8,KOKDXZTN4
845,"* de vehicles automòbils, bicicletes i altres",5,KOKDXZTN4
846,"* de vehicles automòbils, bicicletes i altres",9,KOKDXZTN4
847,"* de vehicles automòbils, bicicletes i altres",9,KOKDXZTN4
848,"* de vehicles automòbils, bicicletes i altres",7,KOKDXZTN4
849,"* de vehicles automòbils, bicicletes i altres",7,KOKDXZTN4
850,"* de vehicles automòbils, bicicletes i altres",9,KOKDXZTN4
851,"* de vehicles automòbils, bicicletes i altres",11,KOKDXZTN4
852,"* de vehicles automòbils, bicicletes i altres",5,KOKDXZTN4
853,"* de vehicles automòbils, bicicletes i altres",15,KOKDXZTN4
854,"* de vehicles automòbils, bicicletes i altres",12,KOKDXZTN4
855,"* de vehicles automòbils, bicicletes i altres",10,KOKDXZTN4
856,"* de vehicles automòbils, bicicletes i altres",12,KOKDXZTN4
857,"* de vehicles automòbils, bicicletes i altres",6,KOKDXZTN4
858,"* de vehicles automòbils, bicicletes i altres",5,KOKDXZTN4
859,"* de vehicles automòbils, bicicletes i altres",12,KOKDXZTN4
860,"* de vehicles automòbils, bicicletes i altres",18,KOKDXZTN4
861,"* de vehicles automòbils, bicicletes i altres",21,KOKDXZTN4
862,"* de vehicles automòbils, bicicletes i altres",5,KOKDXZTN4
863,"* de vehicles automòbils, bicicletes i altres",8,KOKDXZTN4
864,"* de vehicles automòbils, bicicletes i altres",12,KOKDXZTN4
865,"* de vehicles automòbils, bicicletes i altres",14,KOKDXZTN4
866,"* de vehicles automòbils, bicicletes i altres",17,KOKDXZTN4
867,"* de vehicles automòbils, bicicletes i altres",26,KOKDXZTN4
868,"* de vehicles automòbils, bicicletes i altres",14,KOKDXZTN4
869,"* de vehicles automòbils, bicicletes i altres",8,KOKDXZTN4
872,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
873,"Comerç al detall de productes tèxtils, etc.",3,G64GDG2D7
874,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
875,"Comerç al detall de productes tèxtils, etc.",1,G64GDG2D7
876,"Comerç al detall de productes tèxtils, etc.",1,G64GDG2D7
877,"Comerç al detall de productes tèxtils, etc.",1,G64GDG2D7
878,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
879,"Comerç al detall de productes tèxtils, etc.",8,G64GDG2D7
880,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
881,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
884,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
885,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
887,"Comerç al detall de productes tèxtils, etc.",1,G64GDG2D7
888,"Comerç al detall de productes tèxtils, etc.",3,G64GDG2D7
889,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
890,"Comerç al detall de productes tèxtils, etc.",3,G64GDG2D7
891,"Comerç al detall de productes tèxtils, etc.",1,G64GDG2D7
892,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
893,"Comerç al detall de productes tèxtils, etc.",0,G64GDG2D7
894,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
895,"Comerç al detall de productes tèxtils, etc.",2,G64GDG2D7
896,"Comerç al detall de productes tèxtils, etc.",4,G64GDG2D7
1108,"* Productes alimentaris, begudes i tabac",1,WFLW65SKE
1109,"* Productes alimentaris, begudes i tabac",1,WFLW65SKE
1110,"* Productes alimentaris, begudes i tabac",0,WFLW65SKE
1111,"* Productes alimentaris, begudes i tabac",2,WFLW65SKE
1112,"* Productes alimentaris, begudes i tabac",0,WFLW65SKE
1113,"* Productes alimentaris, begudes i tabac",2,WFLW65SKE
1114,"* Productes alimentaris, begudes i tabac",0,WFLW65SKE
1115,"* Productes alimentaris, begudes i tabac",0,WFLW65SKE
1116,"* Productes alimentaris, begudes i tabac",3,WFLW65SKE
1117,"* Productes alimentaris, begudes i tabac",0,WFLW65SKE
1118,"* Productes alimentaris, begudes i tabac",1,WFLW65SKE
1119,"* Productes alimentaris, begudes i tabac",1,WFLW65SKE
1120,"* Productes alimentaris, begudes i tabac",0,WFLW65SKE
1121,"* Productes alimentaris, begudes i tabac",0,WFLW65SKE
1122,"* Productes alimentaris, begudes i tabac",1,WFLW65SKE
1123,"* Productes alimentaris, begudes i tabac",1,WFLW65SKE
1124,"* Productes alimentaris, begudes i tabac",1,WFLW65SKE
1125,"* Productes alimentaris, begudes i tabac",2,WFLW65SKE
1126,"* Productes alimentaris, begudes i tabac",1,WFLW65SKE
1127,"* Productes alimentaris, begudes i tabac",2,WFLW65SKE
1128,"* Productes alimentaris, begudes i tabac",0,WFLW65SKE
