DATA,NUM_IAE,TEXT_IAE,CONSUM_MES,NUM_CLIENT_ANONIMITZAT
2018-04-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,14,ODS25IEHI
2019-10-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,29,ODS25IEHI
2019-12-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,26,ODS25IEHI
2021-02-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,0,ODS25IEHI
2021-10-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,5,ODS25IEHI
2018-02-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,10,ODS25IEHI
2018-08-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,1,ODS25IEHI
2019-08-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,2,ODS25IEHI
2020-02-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,1,ODS25IEHI
2020-06-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,4,ODS25IEHI
2021-12-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,5,ODS25IEHI
2018-06-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,14,ODS25IEHI
2018-12-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,30,ODS25IEHI
2019-06-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,29,ODS25IEHI
2020-08-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,0,ODS25IEHI
2017-12-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,0,ODS25IEHI
2018-10-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,1,ODS25IEHI
2021-06-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,1,ODS25IEHI
2017-10-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,0,ODS25IEHI
2020-04-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,1,ODS25IEHI
2020-12-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,0,ODS25IEHI
2021-04-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,5,ODS25IEHI
2020-10-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,0,ODS25IEHI
2019-04-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,1,ODS25IEHI
2021-07-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,2,ODS25IEHI
2019-02-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,0,ODS25IEHI
2021-08-01,I9429,ALTRES SERVEIS SANITARIS SENSE INTERNAT,3,ODS25IEHI
2018-12-01,I8497,* de gestió administrativa,0,DR0R23EW6
2021-08-01,I8497,* de gestió administrativa,32,DR0R23EW6
2019-02-01,I8497,* de gestió administrativa,0,DR0R23EW6
2018-10-01,I8497,* de gestió administrativa,0,DR0R23EW6
2019-08-01,I8497,* de gestió administrativa,0,DR0R23EW6
2020-02-01,I8497,* de gestió administrativa,2,DR0R23EW6
2020-08-01,I8497,* de gestió administrativa,3,DR0R23EW6
2021-02-01,I8497,* de gestió administrativa,3,DR0R23EW6
2020-04-01,I8497,* de gestió administrativa,2,DR0R23EW6
2021-04-01,I8497,* de gestió administrativa,2,DR0R23EW6
2019-10-01,I8497,* de gestió administrativa,0,DR0R23EW6
2021-12-01,I8497,* de gestió administrativa,6,DR0R23EW6
2020-06-01,I8497,* de gestió administrativa,1,DR0R23EW6
2020-12-01,I8497,* de gestió administrativa,2,DR0R23EW6
2021-06-01,I8497,* de gestió administrativa,4,DR0R23EW6
2018-06-01,I8497,* de gestió administrativa,39,DR0R23EW6
2019-06-01,I8497,* de gestió administrativa,9,DR0R23EW6
2019-12-01,I8497,* de gestió administrativa,0,DR0R23EW6
2018-08-01,I8497,* de gestió administrativa,13,DR0R23EW6
2020-10-01,I8497,* de gestió administrativa,1,DR0R23EW6
2019-04-01,I8497,* de gestió administrativa,0,DR0R23EW6
2021-10-01,I8497,* de gestió administrativa,8,DR0R23EW6
2019-08-01,I6524,* al detall del plantes i herbes en herbolaris,1,1BZMYTGZV
2019-12-01,I6524,* al detall del plantes i herbes en herbolaris,2,1BZMYTGZV
